addressLine1,lastSalePrice,time_id,location_id,description_id
10 Curtis St,449900.0,170,238,223
448 Winterberry Dr,228000.0,171,239,224
4015 N Bend Rd,58900.0,172,240,225
7123 Coldstream Dr,0.0,1,241,226
434 Conners Ave,2750000.0,173,137,227
31 Mountain Dr,825000.0,37,242,228
201 Shari Dr,0.0,1,243,229
82468 4th St,2500.0,174,244,230
835 Ne 212th Ter,75500.0,175,219,231
835 Ne 212th Ter,75500.0,175,245,231
1012 E 135th Pl,179500.0,176,246,232
PO Box 142688,0.0,1,247,1
PO Box 142688,0.0,1,328,1
2453 Lark St,340000.0,177,220,233
2453 Lark St,340000.0,177,248,233
101B Forest Park Dr,0.0,1,249,1
973 New St,0.0,178,250,234
5605 Village Glen Dr,0.0,1,64,235
3602 Grouse Ct,0.0,1,251,236
6008 Trail Lake Dr,0.0,179,252,237
11306 S Bell Ave,202000.0,180,23,238
900 Frances Way,0.0,1,253,1
2627 Maggiore Cir,206000.0,181,254,239
104 Willow Creek Dr,160200.0,182,255,240
433 Blue Jacket Ln,311000.0,183,147,241
4125 Chapel Hill Dr,270000.0,184,256,242
3701 N Fruit Ave,0.0,1,257,1
3200 Riverwood Ln,0.0,1,258,1
888 Payne Ave,0.0,1,259,1
PO Box 1318,0.0,1,260,1
2605 S 1st St,0.0,1,261,1
900 Meyers Ct,380000.0,185,262,243
26 Colonial Dr,0.0,1,263,1
2856 Annandale Rd,110000.0,186,264,244
6822 Timber Point Cir,0.0,187,265,245
14311 Addison St,0.0,1,266,1
1399 Royal Oak Dr,237900.0,188,267,246
886 Riverlawn Ave Apt B,0.0,1,268,247
238 E 36th St,0.0,1,26,248
631 Cooper Ave,0.0,1,269,249
26 Penn Dr,158000.0,189,270,250
4100 Aughton Ct,190000.0,190,271,251
13312 Georgia Ave,235000.0,191,127,252
228 Golf Club Dr,520000.0,192,272,253
1705 Greystone Ln,270000.0,193,273,254
479 Harbor Winds Ct,285000.0,194,271,255
1604 Red Fox Rd,0.0,195,274,256
1530 Birdsall St,0.0,196,132,257
55 Cambridge St,0.0,1,275,1
700 Sanctuary Cove Dr,0.0,1,276,258
933 Yorkshire Ln NW,445000.0,197,89,259
4509 Pinyon Dr,285000.0,198,277,260
3232 Us Hwy,0.0,1,278,261
12 Cory Rd,195000.0,199,279,262
46068 Milton Rd,0.0,1,280,1
2601 E Ocean Blvd,375000.0,200,281,263
220 Camelot Dr,0.0,201,282,264
2255 S University Parks Dr,0.0,202,283,265
100 N Gatehouse Dr,0.0,1,284,1
9426 78th St,530000.0,203,285,266
2401 W Wellesley Ave Ste E,0.0,1,5,1
7914 Gleason Dr,167900.0,204,286,267
3306 Laguna Dr,0.0,205,90,268
215 Lolita St,0.0,1,287,1
903 Wilma St,64000.0,206,288,269
5323 N Legion St,0.0,1,289,270
216A South St,0.0,1,290,271
896 Colorado Ave Apt D,0.0,1,268,1
207 E Ohio St,0.0,207,291,272
207 E Ohio St,0.0,207,367,272
6307 Nancy Ellen St,0.0,208,292,273
125 Massachusetts St,0.0,1,293,274
4251 W Rosecrest Rd,0.0,209,294,275
95 Martensen St,0.0,1,238,1
100 Jane St,0.0,1,295,276
302 N Cole St,0.0,210,18,277
302 N Cole St,0.0,210,235,277
136 Periwinkle Ln,318000.0,211,152,278
3719 Zoo Pkwy,202000.0,212,197,279
1117 Pecan Cir,210000.0,213,296,280
10467 Garibaldi Pl,211000.0,214,247,281
10467 Garibaldi Pl,211000.0,214,328,281
201 Morrison Springs Rd,99000.0,215,297,282
38 N Bellevue Ave,23500.0,216,298,283
2010 Birch Trace Dr,205000.0,217,299,284
3736 Ivy Green Trl,310000.0,218,84,285
1301 Commonwealth Ave,0.0,1,300,286
833 W 13th St,0.0,1,301,1
605 Spoleto Ct,306000.0,219,302,287
1226 Farm Rd,0.0,1,303,1
1657 Westward Dr,0.0,1,304,288
8401 W Charlstn Blvd,0.0,1,24,1
24 Ambleside Crescent Dr,0.0,220,305,289
527 Beach Club Trl,640000.0,221,306,290
347 E Montcastle Dr,49000.0,222,307,291
39468 Via,380000.0,223,308,292
6098 N Carica Ave,82009.0,224,257,293
1720 W Main St,320000.0,225,179,294
2466 Payne Cir W,240000.0,226,105,295
1222 3rd Ave,50000.0,227,309,296
6357 Domenico Ct,221699.0,228,310,297
7424 88th Ave,199750.0,229,311,298
8324 Cutter Hill Ave,0.0,230,252,299
1700 Coronet Ave,0.0,231,312,300
4087 N Shirley Ln,0.0,232,313,301
114 13th Ave S,0.0,1,314,1
7384 Barberry Ave,130000.0,233,315,302
301 S 14th St,44945.0,234,316,303
401 Barry Mccaffrey Blvd,142000.0,235,317,304
14804 Castletown House Dr,163000.0,236,134,305
8 N May Ave,280000.0,237,318,306
5012 Abbott Ave N,237000.0,238,230,307
5888 S Fork Rd,0.0,239,319,308
11522 Gaymoor Dr,0.0,240,132,309
7411 Bush Lake Dr,0.0,1,230,310
13633 Se 5th St,4250000.0,241,320,311
9377 Glenforest Dr,630000.0,242,137,312
7764 Botany St,460000.0,243,321,313
1033 N Lime St,185000.0,244,140,314
1033 N Lime St,185000.0,244,322,314
2615 Whitehall Ter,0.0,1,323,315
1501 Cedar Elm Dr,0.0,245,324,316
20 Maryland Ave,231500.0,246,325,317
680 W Capstone Ct,0.0,1,326,1
2120 Hidden Creek Rd,0.0,247,252,318
41 Pepperbush Rd,65000.0,248,327,319
6737 High Cir,162500.0,249,247,320
6737 High Cir,162500.0,249,328,320
8517 65th Dr,855000.0,250,329,321
6329 Gold St,44290.0,251,132,322
9207 Proclamation Dr,0.0,252,29,323
123 Golden Ln,0.0,1,330,324
725 Gibraltar Rd,271000.0,253,331,325
635 S Howard St,330000.0,220,332,326
PO Box 112,0.0,1,333,1
923 Se 34th Ter,110000.0,254,334,327
2314 Hidden Hill Dr,0.0,255,335,328
3937 Carthage Rd,140000.0,256,336,329
254 El Dorado Dr,1335000.0,257,337,330
127 Brambach Rd,1620000.0,258,338,331
5306 W 132nd Ter,0.0,1,339,332
7207 Cooper Ln,0.0,259,90,333
1521 Abaco Cay Ln,0.0,1,340,334
1224 E 35th St,450000.0,260,288,335
1279 Collins Ave,0.0,1,341,1
2000 Dodson Ave,165000.0,261,297,336
1409 7th Ave,0.0,262,342,337
311 8th St,1180000.0,263,343,338
507 W Main St,0.0,1,344,339
1502 Tara Ct,398147.0,264,345,340
3507 W Capitol Ave,56335.0,265,346,341
6412 Platt Ave,89500.0,266,347,1
14717 Hampshire Dr,61327.0,267,348,342
1839 Tawny Ash Dr,135000.0,268,247,343
1839 Tawny Ash Dr,135000.0,268,328,343
457 Ray Ln,0.0,1,349,344
11413 Gravenhurst Dr,145000.0,269,240,345
3331 N Harvard Ave,87000.0,259,350,346
1931 Staunton Ave NW,26200.0,270,351,347
7840 Olive Grove Ave,0.0,1,352,348
97 Foster St,452000.0,271,353,349
3110 Clearwood Ln,0.0,272,354,350
6042 Pebble Beach Dr,0.0,1,132,351
1100 Terra Way,595000.0,273,79,352
1100 Terra Way,595000.0,273,355,352
7717 Ivanhoe Ave,0.0,1,356,353
1724 E 18th Ave,98000.0,274,5,354
343 Travis Blvd,0.0,1,357,1
121 Port Royal Dr,80000.0,275,358,355
164 Lee Rd,0.0,1,359,356
2009 Foerster Dr,0.0,276,54,1
7057 Lakehaven Dr,0.0,1,79,1
7057 Lakehaven Dr,0.0,1,355,1
7563 Talus Ridge Dr,515000.0,277,105,357
205 Camino Real,810000.0,278,360,358
5870 Mirror Lakes Blvd,160000.0,279,361,359
PO Box 11,0.0,1,362,1
3314 Cameron St,0.0,280,363,360
2698 Lowell Ave,15000.0,281,222,361
3767 N 192nd Ave,0.0,1,364,362
3767 N 192nd Ave,0.0,1,381,362
2915 S Del Norte Ave,0.0,1,221,363
225 E 8th Ave,230000.0,282,365,364
4142 W Kaler Dr,0.0,1,31,365
6240 Brewer Ave,101500.0,283,366,366
402 Ocean Pkwy,0.0,1,291,1
402 Ocean Pkwy,0.0,1,367,1
106B Brentwood Cir,0.0,1,52,367
106B Brentwood Cir,0.0,1,368,367
730 Heller Ct,735000.0,221,369,368
125 Pashley Rd,0.0,1,161,369
125 Pashley Rd,0.0,1,370,369
653 W University Dr,0.0,1,141,1
4667 Haverhill St,84900.0,284,371,370
1683 E 22nd St,850500.0,285,291,371
1683 E 22nd St,850500.0,285,367,371
17030 Philomene Blvd,186000.0,286,372,372
3925 Buena Vista Dr,2100000.0,287,373,1
2120 Crestwind Ct,0.0,288,374,373
1530 W Intruder Cir,0.0,1,277,1
1446 Jim Bridger Ave,0.0,289,375,374
508 N 5th St,600.0,290,376,375
1145 E Eva St,0.0,1,31,1
1018 Missouri St,0.0,1,377,376
1319 Ferndale St,0.0,1,29,377
4218 Longview Ave,225500.0,195,378,378
3440 W 70th St,300000.0,291,379,1
13051 Sunbird Dr,103000.0,292,380,379
5255 S 48th Ave,0.0,1,364,380
5255 S 48th Ave,0.0,1,381,380
5436 Clark Rd,0.0,1,382,381
