description_id,propertyType,bathrooms,bedrooms,yearBuilt,squareFootage,lotSize
241,Single Family,4.5,5.0,2005,2743.0,224770.0
242,Single Family,1.5,2.0,2005,1649.0,23130.0
243,Single Family,2.0,2.0,1999,1575.0,3398.0
244,Townhouse,2.0,2.0,1976,1056.0,0.0
245,Single Family,3.0,4.0,1997,3285.0,8760.0
246,Single Family,2.0,0.0,2005,1914.0,8233.0
247,Condo,2.0,2.0,1997,1281.0,0.0
248,Single Family,1.5,3.0,1987,984.0,6250.0
249,Condo,2.0,2.0,1983,1075.0,11465.0
250,Single Family,2.0,4.0,2019,2032.0,0.0
251,Single Family,3.0,5.0,2018,3286.0,10759.0
252,Single Family,0.0,0.0,2006,2053.0,6970.0
253,Single Family,1.0,3.0,1938,1232.0,11430.0
254,Manufactured,0.0,0.0,1976,1064.0,0.0
255,Single Family,2.5,4.0,2023,2224.0,0.0
256,Manufactured,0.0,0.0,0,0.0,34412.0
257,Single Family,1.0,0.0,1977,1050.0,30900.0
258,Single Family,3.0,2.0,1953,1376.0,8780.0
259,Single Family,0.0,3.0,1936,1148.0,5445.0
260,Single Family,2.5,4.0,1994,1787.0,7405.0
261,Single Family,2.0,3.0,1978,1181.0,3485.0
262,Single Family,1.0,0.0,1924,948.0,3049.0
263,Single Family,2.0,4.0,2018,2049.0,5249.0
264,Single Family,1.0,3.0,1955,792.0,8712.0
265,Manufactured,2.0,3.0,2003,1512.0,0.0
266,Condo,1.0,1.0,1984,700.0,48352.0
267,Single Family,2.5,4.0,0,1972.0,5663.0
268,Single Family,1.0,3.0,1982,1052.0,6970.0
269,Single Family,2.0,0.0,1989,1677.0,0.0
270,Single Family,2.0,3.0,2008,1483.0,0.0
271,Single Family,2.0,3.0,1976,2152.0,10115.0
272,Single Family,1.5,4.0,1945,1106.0,6098.0
273,Single Family,0.0,0.0,1993,1584.0,72745.0
274,Single Family,2.0,3.0,1957,1198.0,5702.0
275,Single Family,2.0,3.0,1961,1617.0,12632.0
276,Multi-Family,2.0,4.0,1900,1690.0,7938.0
277,Single Family,1.0,2.0,1960,1080.0,10019.0
278,Single Family,3.0,3.0,1993,1436.0,3920.0
279,Single Family,2.5,4.0,2005,2280.0,4995.0
280,Single Family,2.5,3.0,1973,1400.0,14400.0
281,Single Family,1.0,3.0,1900,1048.0,3572.0
282,Single Family,2.5,3.0,2023,2100.0,48164.0
283,Single Family,2.0,3.0,2013,1459.0,0.0
284,Single Family,1.0,2.0,1900,956.0,4500.0
285,Single Family,0.0,0.0,0,0.0,38507.0
286,Condo,2.5,3.0,1999,1214.0,0.0
287,Single Family,2.0,3.0,1969,1906.0,15065.0
288,Land,0.0,0.0,1976,0.0,1663992.0
289,Single Family,2.5,4.0,1998,2286.0,21869.0
290,Apartment,2.0,2.0,0,1160.0,0.0
291,Single Family,3.0,4.0,1995,3331.0,8455.0
292,Single Family,2.0,2.0,0,1054.0,0.0
293,Single Family,3.5,5.0,2005,3636.0,9804.0
294,Single Family,0.0,0.0,1985,672.0,0.0
295,Single Family,0.0,3.0,2015,2039.0,4792.0
296,Single Family,2.0,3.0,1923,2376.0,60984.0
297,Single Family,2.5,3.0,2010,3716.0,12632.0
298,Single Family,2.0,3.0,1940,2200.0,21780.0
299,Single Family,1.0,2.0,2015,836.0,4407.0
300,Land,0.0,0.0,0,0.0,2540419.0
301,Single Family,2.5,3.0,2018,1726.0,4160.0
302,Condo,1.0,1.0,2006,1273.0,449.0
303,Single Family,2.0,3.0,2004,2082.0,0.0
304,Land,0.0,0.0,0,0.0,6970.0
305,Condo,1.0,1.0,2009,690.0,29160.0
306,Condo,2.0,2.0,1995,1493.0,1757.0
307,Single Family,1.0,2.0,1955,1278.0,21780.0
308,Single Family,1.5,3.0,2000,1824.0,6597.0
309,Single Family,2.0,0.0,2021,1756.0,6566.0
310,Manufactured,2.0,3.0,1997,1352.0,4792.0
311,Single Family,4.5,4.0,1997,3868.0,25657.0
312,Single Family,3.0,3.0,1984,1939.0,8306.0
313,Single Family,3.0,4.0,2012,2025.0,7080.0
314,Apartment,1.0,1.0,0,749.0,0.0
315,Apartment,1.0,1.0,0,616.0,0.0
316,Single Family,2.0,3.0,2008,1517.0,8276.0
317,Single Family,2.0,3.0,1977,1152.0,10359.0
318,Manufactured,0.0,0.0,2000,1400.0,43560.0
319,Single Family,1.5,3.0,1956,1358.0,4960.0
320,Single Family,3.0,3.0,1988,1776.0,2178.0
321,Single Family,2.0,3.0,2005,1574.0,4748.0
322,Single Family,2.0,0.0,1993,2044.0,6708.0
323,Land,0.0,0.0,0,0.0,217800.0
324,Land,0.0,0.0,0,0.0,10454.0
325,Single Family,1.0,3.0,1977,880.0,7449.0
326,Single Family,2.0,3.0,1998,1693.0,5631.0
327,Single Family,2.0,3.0,1972,1768.0,14810.0
328,Single Family,0.0,0.0,0,0.0,0.0
329,Single Family,2.0,3.0,2014,1956.0,8276.0
330,Single Family,3.0,3.0,0,0.0,14810.0
331,Condo,1.0,2.0,2003,801.0,1716.0
332,Single Family,2.0,3.0,1974,1422.0,9892.0
333,Single Family,1.0,2.0,1947,700.0,7200.0
334,Single Family,3.0,0.0,1976,0.0,14111.0
335,Single Family,1.0,2.0,1936,1307.0,12632.0
336,Single Family,0.0,0.0,2011,924.0,6250.0
337,Apartment,2.0,2.0,0,910.0,0.0
338,Single Family,2.0,3.0,2003,1485.0,4182.0
339,Single Family,5.0,0.0,1974,5449.0,43217.0
340,Condo,0.0,1.0,1962,707.0,0.0
341,Condo,0.0,0.0,1997,1170.0,2260.0
342,Condo,2.0,2.0,1986,1255.0,4097.0
343,Single Family,2.0,4.0,1868,1924.0,9097.0
344,Single Family,2.0,4.0,1980,1472.0,7500.0
